pin,household_id,zipcode,blockgroup,lat,lon,zone,liveyearround,liveparttime,everhit,howmanyhits,worry,timesevac,expectedmoreorless,evacuated,whenleft,advisedtogo,samechoice,evacpwithnote,evacpwithoutnote,yearborn,sex,hispanic,race,edu,income,ideology,party,elevation,milestocoast
14178157,78157,06372,2,41.354557,-71.96738,A,1,1,1,1,4,0,3,2,NA,2,2,2,2,1937,1,2,3,9,2,3,3,2.735244035720825,0.051124424734215246
14178630,78630,06320,4,41.3249199999999,-72.1056379999999,A,1,1,2,2,5,0,3,NA,NA,2,1,3,3,1988,1,2,3,7,3,3,5,38.787935026359555,0.22860848102640832
14178811,78811,06513,2,41.314064,-72.8752669999999,A,1,1,1,3,5,0,3,2,NA,2,2,4,2,1950,2,2,3,4,2,3,3,6.395120620727539,0.21027226476094704
14178850,78850,06512,4,41.255203,-72.8941599999999,A,1,1,1,1,3,0,3,2,NA,2,1,2,NA,1941,1,2,3,4,5,3,3,4.889288902282715,0.08041559961510564
14179008,79008,06385,2,41.356071,-72.187499,A,1,1,2,2,5,0,3,NA,NA,2,1,4,3,1968,1,2,3,5,3,5,5,27.117435942611696,0.041688961171745004
14179016,79016,06340,3,41.3364729999999,-72.05061,A,1,1,1,1,2,0,4,2,NA,1,1,2,2,1946,1,2,3,5,3,3,2,4.129795074462891,0.16795806488639628
14179104,79104,06824,3,41.150917,-73.2719979999999,A,1,1,1,5,5,0,5,2,NA,2,1,5,2,1984,2,2,3,7,5,3,3,6.974328517913818,0.9345106343710122
14179129,79129,06405,4,41.2720249999999,-72.818132,A,1,1,1,2,1,0,1,2,NA,2,2,2,2,1959,1,2,3,8,6,4,1,2.423489809036255,0.053251612025713005
14179179,79179,06512,2,41.268731,-72.8720749999999,A,1,1,1,4,4,0,5,2,NA,2,1,5,2,1960,2,2,3,6,3,3,5,3.563524484634399,0.15558253962102875
14179242,79242,06371,2,41.334195,-72.323774,A,1,NA,1,1,2,0,3,2,NA,2,1,2,NA,1959,1,2,3,3,3,2,5,9.35350513458252,0.07350473549177877
14179298,79298,06379,4,41.3764699999999,-71.8360739999999,A,1,1,1,4,4,0,4,2,NA,2,1,5,2,1984,1,2,3,4,4,3,2,6.607573986053467,0.1677407377536083
14179359,79359,06516,1,41.2863699999999,-72.949922,A,1,1,1,2,5,0,5,2,NA,2,1,2,2,1956,1,2,3,7,5,4,1,7.545284748077393,0.34650541839567883
14179448,79448,06853,3,41.0736429999999,-73.445458,A,1,1,1,1,6,0,5,2,1,2,1,4,2,1952,1,2,3,7,6,3,3,10.59659862518311,0.08331511036193119
14179527,79527,06511,2,41.317913,-72.907683,A,1,1,1,2,2,0,1,2,NA,2,1,3,1,1977,1,2,3,7,4,2,2,7.21503734588623,0.1294286084485147
14179737,79737,06519,1,41.2889029999999,-72.935939,A,1,1,1,3,4,0,3,2,NA,2,2,2,2,1955,1,2,3,10,2,4,1,5.014280796051025,0.1987982988829489
14179827,79827,06355,1,41.325678,-71.9670509999999,A,1,1,1,2,5,0,3,2,NA,1,1,1,1,1949,2,2,3,7,3,2,2,8.707681655883789,0.05444595640278401
14179993,79993,06357,3,41.2966539999999,-72.211696,A,1,1,1,2,4,0,5,2,NA,3,1,3,2,1963,1,2,3,7,5,3,1,14.06335639953613,0.15531511171807977
14180110,80110,06615,2,41.1815879999999,-73.1327529999999,A,1,1,1,4,3,0,3,2,NA,1,1,1,1,1956,2,2,3,5,5,3,1,3.98634934425354,0.28768582849779994
14180223,80223,06820,4,41.05677,-73.4939629999999,A,1,1,1,2,5,2,3,2,NA,1,4,5,4,1963,1,2,3,7,6,4,1,6.554904460906982,0.0968013423604764
14180318,80318,06853,1,41.064382,-73.4383839999999,A,1,1,1,3,6,0,5,2,NA,2,1,3,1,1955,2,2,3,7,5,2,2,8.949254989624023,0.09531229864718073
14180404,80404,06838,3,41.122544,-73.315773,A,1,1,1,2,5,0,5,2,NA,1,1,2,2,1941,2,2,3,5,6,2,1,4.686204433441162,0.0908142784660213
14180532,80532,06460,2,41.208289,-73.057665,A,1,1,1,3,2,0,5,2,NA,1,1,3,2,1941,2,2,3,6,4,3,3,4.252840042114258,0.03915563054453797
14180742,80742,06340,1,41.3227729999999,-72.0621009999999,A,1,1,1,1,2,0,3,2,NA,1,1,2,2,1959,1,2,3,7,2,4,3,10.41556358337402,0.20276812612209294
14180759,80759,06355,3,41.3526949999999,-71.945278,A,1,1,1,1,5,0,2,2,NA,2,2,2,2,1933,1,2,3,8,2,4,1,14.66741561889648,0.361016919704471
14181047,81047,06615,2,41.177572,-73.135499,A,1,1,1,2,5,1,1,1,1,1,1,4,3,1955,2,2,7,7,3,3,5,4.819657802581787,0.4047218570373656
14181225,81225,06443,5,41.27046,-72.5939609999999,A,2,1,1,1,6,0,2,2,NA,2,1,3,2,1958,2,2,3,7,6,3,2,3.663961887359619,0.02482647994269743
14181367,81367,06512,4,41.245958,-72.8631699999999,A,1,1,1,2,5,2,5,1,2,1,2,2,1,1960,1,2,3,7,5,3,3,2.118217945098877,0.019003227604722367
