pin,household_id,zipcode,blockgroup,lat,lon,zone,liveyearround,liveparttime,everhit,howmanyhits,worry,timesevac,expectedmoreorless,evacuated,whenleft,advisedtogo,samechoice,evacpwithnote,evacpwithoutnote,yearborn,sex,hispanic,race,edu,income,ideology,party,elevation,milestocoast
14191521,91521,06460,2,41.209876,-73.023418,A,1,NA,1,3,3,0,4,2,NA,2,2,2,2,1944,1,2,3,5,2,2,2,6.740078449249268,0.16033944397934685
14191642,91642,06853,3,41.066803,-73.44049,A,1,1,1,3,4,0,4,2,NA,2,1,2,2,1951,1,2,5,7,5,5,4,10.93824481964111,0.13785265710100306
14191729,91729,06604,1,41.1656449999999,-73.1991369999999,A,1,1,1,2,4,1,5,1,1,3,1,4,3,1965,2,1,4,6,2,1,5,3.152734279632568,0.10327427617770463
14191980,91980,06357,2,41.315736,-72.2065989999999,A,1,1,1,2,5,0,3,2,NA,2,4,5,3,1977,1,2,3,8,5,3,1,8.66158676147461,0.18010316424701392
14192073,92073,06855,3,41.0991679999999,-73.399579,A,1,1,1,2,2,0,2,2,NA,1,1,4,2,1986,1,2,3,7,6,4,1,10.35902881622314,0.290008256568478
14192217,92217,06437,1,41.268352,-72.685862,A,1,1,1,3,5,1,3,1,1,1,1,4,2,1945,2,2,3,9,4,2,2,17.23350715637207,0.06355162170613844
14192395,92395,06320,2,41.352886,-72.094832,A,1,1,1,2,7,1,1,2,NA,2,1,3,3,1971,1,2,3,5,1,1,2,5.83214282989502,0.04257569153626818
14192397,92397,06615,2,41.182774,-73.135864,A,1,1,1,3,3,0,5,2,NA,3,2,4,2,1944,1,2,3,8,3,2,2,3.592814922332764,0.44630377337055815
14192459,92459,06880,2,41.1156769999999,-73.359105,A,1,1,1,2,4,0,4,2,NA,2,1,4,3,1962,2,2,3,7,6,4,1,4.498671054840088,0.30878897311709064
14192462,92462,06615,2,41.183807,-73.127279,A,1,1,2,2,5,0,3,NA,NA,2,1,5,4,1953,2,2,3,7,6,2,2,14.366791151123047,0.07023922356280927
14192649,92649,06355,1,41.3383729999999,-71.963458,A,1,1,1,2,4,1,2,2,NA,2,2,5,3,1958,1,2,3,9,6,4,3,3.291328191757202,0.02327996113296806
14192720,92720,06516,1,41.290357,-72.952993,A,1,1,1,2,3,0,4,2,NA,2,1,1,NA,1950,2,2,3,6,2,3,5,4.317925453186035,0.1416966594284234
14192781,92781,06516,5,41.2470789999999,-72.966232,A,1,1,1,4,7,1,1,2,NA,1,4,4,4,1943,2,2,3,7,5,2,5,4.386840343475342,0.0718177174150468
14192813,92813,06902,2,41.061062,-73.5453579999999,A,1,1,2,2,5,0,3,NA,NA,2,1,3,3,1940,2,2,3,4,2,3,6,22.636970295734404,0.44939896301628224
14192919,92919,06902,1,41.0272289999999,-73.5211249999999,A,1,1,2,2,5,0,3,NA,NA,2,1,3,1,1971,2,2,3,8,6,3,2,50.904583494873066,0.1168146677023832
14192945,92945,06890,2,41.129283,-73.292094,A,1,1,1,2,5,2,3,1,1,1,2,4,3,1957,1,2,3,8,6,2,2,4.099008560180664,0.1470773435849654
14193245,93245,06824,1,41.137191,-73.260261,A,1,NA,1,2,6,0,5,2,NA,1,1,3,1,1958,1,2,3,4,4,4,2,3.889378309249878,0.15707781846300972
14193375,93375,06340,1,41.3415639999999,-72.0220889999999,A,1,1,1,2,1,0,4,1,2,1,3,3,3,1959,1,2,1,9,1,2,2,4.443801879882812,0.4842075622644355
14193429,93429,06880,4,41.1303389999999,-73.363574,A,1,1,1,3,1,0,3,2,NA,2,1,4,1,1939,1,2,3,4,5,2,2,6.458039283752441,0.08270850363877852
14193548,93548,06355,2,41.3560579999999,-71.964038,A,1,NA,1,2,4,0,3,2,NA,1,3,2,2,1952,2,2,3,7,5,4,1,1.979710698127747,0.06971521782306071
14193638,93638,06460,3,41.1898819999999,-73.0862779999999,A,1,1,2,2,5,0,3,NA,NA,2,1,5,3,1974,1,2,3,8,5,3,6,7.873350649442672,0.013145334155844426
14193647,93647,06340,2,41.325502,-71.990119000000007,A,1,1,2,2,5,0,3,NA,NA,2,1,4,1,1956,2,2,3,9,3,2,2,26.61462616168976,0.10275038937835058
14193720,93720,06615,1,41.1612459999999,-73.1176269999999,A,1,1,1,4,7,2,4,1,2,1,1,3,1,1948,2,1,4,6,3,4,3,5.4129638671875,0.18092279593214017
14193766,93766,06880,3,41.1261439999999,-73.302143,A,1,1,1,3,3,0,5,2,NA,2,1,4,2,1981,1,2,3,7,5,3,3,6.235165596008301,0.15465615602263358
14193792,93792,06605,2,41.1440059999999,-73.2326609999999,A,1,1,1,2,6,2,5,1,1,1,1,5,4,1971,2,2,7,9,6,2,2,2.523627281188965,0.01913340649954625
14193935,93935,06615,3,41.154062,-73.129275,A,1,NA,1,5,7,0,4,2,NA,2,1,NA,NA,1925,2,2,3,2,2,3,5,5.531632900238037,0.07454544263735535
14194101,94101,06605,2,41.165418,-73.222227,A,1,1,1,2,4,0,4,2,NA,2,2,2,1,1952,1,2,3,4,4,3,3,10.26410675048828,0.11374089471841545
14194270,94270,06320,3,41.313014,-72.0949839999999,A,1,1,1,1,3,0,5,2,NA,2,2,4,2,1938,1,2,3,9,5,4,1,4.130949974060059,0.020458328589720017
14194328,94328,06807,1,41.0405439999999,-73.59416,A,1,1,1,3,7,0,5,2,NA,2,1,4,2,1972,2,2,5,8,5,3,2,10.24777984619141,0.1428626772918099
14194554,94554,06519,1,41.294237,-72.93093,A,1,1,1,1,7,0,1,2,NA,2,2,4,4,1959,2,2,1,6,3,3,2,11.16426277160645,0.5812861194499752
14194585,94585,06460,4,41.1862179999999,-73.0905589999999,A,1,1,2,2,3,0,4,2,NA,2,1,4,2,1937,1,2,3,7,6,3,3,2.811814308166504,0.035414691794203014
14194757,94757,06355,1,41.356652,-71.970448,A,1,1,1,3,3,0,3,2,NA,1,2,3,2,1962,2,2,3,7,3,3,3,6.68149995803833,0.0643235870549302
14194871,94871,06371,3,41.2893419999999,-72.3061919999999,A,1,1,1,2,5,0,4,2,NA,2,1,1,1,1975,1,2,3,6,3,2,2,10.82269191741943,0.11180712276982568
14194948,94948,06902,2,41.032552,-73.5319619999999,A,1,1,1,2,6,2,5,1,1,1,1,5,5,1972,1,2,2,7,6,3,3,2.751700401306152,0.03544476209249213
14194958,94958,06824,1,41.1353399999999,-73.269085,A,1,1,1,2,1,0,5,2,NA,1,1,1,1,1961,1,2,3,8,6,2,5,8.354657173156738,0.17320980910608316
14195343,95343,06379,3,41.372076,-71.835191,A,1,1,1,4,7,0,5,2,NA,2,1,4,2,1951,2,2,3,5,2,3,5,7.6434006690979,0.16671268508090953
14195360,95360,06376,4,41.29592,-72.2587029999999,A,1,1,1,2,1,0,1,2,NA,1,1,2,2,1943,2,2,3,7,5,3,3,9.317118644714355,0.3646836071994714
14195571,95571,06320,1,41.3361609999999,-72.099541,A,1,1,1,3,5,1,4,1,1,1,1,4,3,1956,2,2,3,4,3,3,5,5.413527011871338,0.01913779259043202
14195575,95575,06902,1,41.034307,-73.526181,A,1,1,1,3,5,0,5,2,NA,1,4,5,5,1968,2,2,1,8,6,2,2,11.94954586029053,0.16743230889045616
14195703,95703,06498,4,41.282462,-72.4464059999999,A,1,1,1,3,3,1,4,1,2,1,2,5,4,1947,2,2,3,6,3,3,3,4.697263240814209,0.21876365532899372
14195736,95736,06605,3,41.154249,-73.2191279999999,A,1,2,1,1,3,1,1,2,2,1,2,3,1,1949,2,2,3,8,4,3,2,5.535036563873291,0.051960133252472306
14195798,95798,06379,1,41.3596119999999,-71.880537,A,1,1,1,1,3,0,3,2,NA,2,2,4,2,1936,1,1,3,4,3,3,2,4.293972969055176,0.07782374007399907
14195892,95892,06512,2,41.2684459999999,-72.900165,A,1,1,1,2,6,0,5,2,NA,2,3,5,NA,1955,2,2,7,10,5,3,5,10.71949481964111,0.04122738073077984
14195942,95942,06902,3,41.054343,-73.503394,A,1,1,1,1,3,1,4,1,3,2,2,4,4,1945,1,2,3,9,6,4,1,1.376397013664246,0.023659688811775693
14195953,95953,06460,1,41.215397,-73.039372,A,1,1,1,3,5,0,4,2,NA,2,1,NA,NA,1966,2,2,3,8,6,4,1,4.789312362670898,0.03466753587703001
14195962,95962,06880,3,41.11616,-73.360529,A,1,1,1,4,7,0,1,2,NA,2,1,3,3,1955,1,2,3,10,5,3,1,5.308135509490967,0.37839041216380176
14195986,95986,06371,4,41.289514,-72.276643000000007,A,1,1,1,1,3,0,3,2,NA,2,2,2,1,1940,2,2,3,3,2,3,2,8.552393913269043,0.37066231005995026
14196038,96038,06443,4,41.282018,-72.627276,A,2,1,1,2,3,0,5,2,NA,2,2,4,4,1928,2,2,3,8,4,3,3,12.75099468231201,0.2281787132574422
14196271,96271,06413,1,41.273048,-72.520249,A,1,1,1,6,5,0,4,2,NA,1,1,2,1,1950,1,2,3,7,5,2,2,5.940021514892578,0.06437219030584437
14196286,96286,06460,2,41.196379,-73.102037,A,1,1,1,2,5,0,3,2,NA,3,2,5,3,1957,1,2,3,7,5,3,3,5.758553981781006,0.04033894923843913
14196394,96394,06460,2,41.209065,-73.02149,A,1,1,2,2,5,0,3,NA,NA,2,1,3,1,1989,2,2,3,8,4,4,5,20.54348301733017,0.127586515747215
14196514,96514,06605,2,41.1494179999999,-73.226256,A,1,1,1,6,1,1,3,1,1,1,1,5,5,1927,1,2,3,7,2,3,3,6.734860420227051,0.11707874333520471
14196550,96550,06615,3,41.1716059999999,-73.133499,A,1,1,1,2,5,0,4,2,NA,2,5,5,4,1947,2,2,3,7,1,2,3,2.742379426956177,0.0650086546208061
14196689,96689,06460,1,41.2450249999999,-72.994954,A,1,1,1,2,7,0,5,2,NA,2,3,5,2,1976,1,2,2,7,5,3,5,9.644156455993652,0.19288972711183744
14196764,96764,06870,2,41.026136,-73.562269,A,1,1,1,3,5,0,5,2,NA,2,1,1,1,1960,2,2,3,9,6,3,3,7.437604427337646,0.33240918482469634
14196820,96820,06614,1,41.215927,-73.1171109999999,A,2,1,1,0,3,0,3,2,NA,2,2,4,2,1946,1,2,3,6,6,3,1,5.13192081451416,0.027109967024511555
14197003,97003,06475,1,41.2812679999999,-72.4021259999999,A,1,NA,1,2,4,2,3,1,2,1,3,4,4,1935,2,2,3,4,2,4,1,4.587076663970947,0.1560831264825773
14197039,97039,06371,3,41.286,-72.292534,A,1,1,1,3,6,0,4,2,NA,1,2,3,2,1966,2,2,3,7,6,2,2,5.080151557922363,0.08251097048261846
14197239,97239,06475,1,41.2892579999999,-72.368645,A,1,1,1,2,6,1,4,1,2,1,2,5,3,1961,2,2,3,7,6,3,3,4.771125793457031,0.05601251058697306
14197515,97515,06443,1,41.2803919999999,-72.549204,A,1,1,1,2,6,0,5,2,NA,2,1,5,1,1954,2,2,3,7,3,3,5,4.12005615234375,0.05311504270666204
14197926,97926,06405,2,41.27819,-72.8174709999999,A,1,1,1,2,2,0,5,2,NA,2,1,4,1,1951,1,2,3,4,1,4,5,12.34059143066406,0.34383727856541646
14197931,97931,06512,2,41.254778,-72.8623889999999,A,1,1,1,2,5,1,3,2,NA,2,3,4,2,1949,2,2,3,6,5,2,2,13.94496917724609,0.15144347455117763
14198027,98027,06615,1,41.180813,-73.127945,A,1,1,1,1,4,0,4,2,NA,2,2,4,2,1940,2,2,3,6,2,3,3,3.717139720916748,0.10595492943477837
14198064,98064,06357,2,41.316502,-72.2032499999999,A,2,1,1,1,6,0,5,1,1,2,2,4,4,1973,1,2,3,7,6,4,3,11.96414184570312,0.11486621543700663
14198198,98198,06615,2,41.1493669999999,-73.127497,A,1,1,1,5,5,0,5,2,NA,1,4,4,4,1955,2,2,3,8,5,3,2,5.005054950714111,0.07918149956875886
14198397,98397,06854,1,41.088911,-73.4154079999999,A,1,1,1,2,7,2,5,1,2,2,1,5,5,1958,2,2,1,5,3,3,2,3.053402662277222,0.19639062164807297
14198998,98998,06405,3,41.2532799999999,-72.834254,A,1,1,1,2,6,0,3,2,NA,1,3,4,3,1945,1,2,3,9,5,1,2,12.92134857177734,0.0445301064384619
14199225,99225,06824,3,41.1234809999999,-73.2588949999999,A,1,1,1,2,2,0,4,2,NA,2,1,3,2,1978,1,2,3,7,5,3,3,1.829485774040222,0.043196910327310586
14199673,99673,06437,1,41.2992909999999,-72.6506329999999,A,1,1,1,3,5,0,3,1,1,1,1,4,2,1956,2,2,3,9,6,3,3,29.9718132019043,0.11509965120081357
14199772,99772,06320,1,41.3296289999999,-72.094102,A,1,1,1,2,3,0,4,2,NA,2,1,4,2,1966,2,2,3,9,5,2,2,8.772673606872559,0.06933749455703607
14199982,99982,06385,2,41.313284,-72.141315,A,1,NA,3,0,5,0,3,NA,NA,2,1,4,3,1935,2,2,2,8,4,3,3,54.515605077819814,0.33216841487896015
14210589,10589,06511,3,41.318339,-72.9112999999999,B,1,1,2,2,5,0,3,NA,NA,2,1,5,2,1991,1,2,3,8,3,1,2,26.375631866035462,0.2890572285662558
14210615,10615,06513,3,41.3052119999999,-72.895566,B,1,1,1,3,3,0,4,2,NA,2,1,4,2,1960,1,1,3,5,1,3,2,4.816113471984863,0.21412489990751923
14210786,10786,06607,2,41.182496,-73.157537,B,1,NA,1,5,7,2,5,2,NA,3,2,2,1,1955,2,2,3,5,5,3,2,8.317845344543457,0.5911557690110977
14210916,10916,06516,3,41.266522,-72.9560579999999,B,1,1,1,4,6,0,4,2,NA,2,3,5,3,1968,1,2,2,9,4,3,3,17.92928695678711,0.16343342028764277
14210946,10946,06511,2,41.3109759999999,-72.916987,B,2,1,2,2,5,0,3,NA,NA,2,1,5,4,1979,1,2,2,9,3,3,5,30.506865909423826,0.47811281900848773
14210990,10990,06512,1,41.279555,-72.8657419999999,B,1,1,1,2,2,0,5,2,NA,2,1,4,1,1973,2,2,3,8,4,2,2,5.335694313049316,0.12532092701262118
14211437,11437,06890,2,41.139268,-73.295175,B,1,2,1,10,4,0,5,2,NA,2,1,3,2,1965,2,2,3,8,5,3,3,8.755598068237305,0.1608552018542381
14211868,11868,06901,3,41.054194,-73.535988,B,1,1,2,2,5,0,3,NA,NA,2,1,2,1,1978,1,2,3,7,4,3,1,18.546270540943144,0.3874938306260202
14211988,11988,06460,1,41.2294509999999,-73.0485529999999,B,1,1,2,2,5,0,3,NA,NA,2,1,2,1,1956,1,2,3,5,1,4,5,18.71016298177719,0.5657326728108195
14212398,12398,06855,4,41.103869,-73.402955,B,1,1,1,2,4,0,1,2,NA,2,1,5,3,1986,1,1,3,4,3,3,5,9.192065238952637,0.3746222374441121
14212744,12744,06516,3,41.278406,-72.947791,B,1,1,1,1,4,0,1,2,NA,2,2,2,1,1950,2,2,3,5,3,3,3,7.630564212799072,0.44216928455008525
14212745,12745,06605,3,41.176726,-73.203235,B,1,1,2,2,4,0,4,1,1,2,2,NA,NA,1949,1,1,3,2,2,2,1,6.965936660766602,0.684262885171001
14212895,12895,06516,4,41.2773109999999,-72.9471439999999,B,1,1,2,2,5,0,3,NA,NA,2,1,3,1,1974,1,2,3,7,1,3,5,23.553672553024292,0.45300310397572435
14213177,13177,06855,4,41.102809,-73.4025079999999,B,1,NA,1,3,1,0,4,2,4,2,1,4,4,1940,1,2,3,3,2,4,1,7.120361328125,0.3293557208339519
14213182,13182,06460,1,41.228011,-73.0516329999999,B,1,1,1,4,4,1,3,2,NA,2,2,5,3,1951,2,2,3,7,4,3,3,7.398997783660889,0.42261764977324967
14213428,13428,06515,4,41.329391,-72.95663,B,1,1,1,2,2,2,2,2,NA,2,3,3,2,1936,1,1,3,4,2,4,2,8.053579330444336,0.1627262287496666
14213564,13564,06475,4,41.289135,-72.3807979999999,B,1,1,1,1,5,1,4,1,1,1,2,5,2,1955,2,2,3,7,3,2,3,6.898480892181396,0.27470917418750873
14214290,14290,06516,4,41.275117,-72.946707,B,1,1,1,3,2,0,2,2,NA,2,1,3,1,1950,1,2,3,4,2,3,3,6.553791046142578,0.4995320198884531
14214671,14671,06512,1,41.280253,-72.871408,B,1,1,1,2,5,0,3,2,NA,2,2,5,3,1953,2,2,3,5,4,3,5,6.3893723487854,0.39666132102986235
14214854,14854,06475,1,41.295081,-72.3761769999999,B,1,1,1,1,3,1,1,1,1,1,3,4,2,1936,2,2,3,5,3,3,3,5.795220851898193,0.17478858059892896
14214858,14858,06825,1,41.172114,-73.230556000000007,B,1,NA,1,2,1,0,4,2,NA,2,2,4,NA,1931,1,2,3,4,2,4,1,9.598155975341797,0.24444837930868507
14214898,14898,06513,3,41.3091549999999,-72.902128,B,1,2,2,0,7,0,1,2,NA,2,3,1,1,1953,2,1,7,4,3,4,6,8.717041969299316,0.1843368962853509
14214965,14965,06475,4,41.292853,-72.3778339999999,B,1,NA,1,2,4,0,3,2,NA,3,1,3,3,1956,2,2,3,4,5,3,1,5.249444007873535,0.2093255211398072
14215502,15502,06807,2,41.046219,-73.594581,B,1,1,1,2,7,0,3,2,NA,2,5,5,3,1968,2,2,3,8,5,3,3,13.76824855804443,0.345609839728901
14215744,15744,06437,1,41.2822579999999,-72.6824199999999,B,1,1,1,2,7,0,5,2,NA,2,1,1,1,1968,1,2,3,5,2,3,3,5.902853012084961,0.2811097842166299
14215993,15993,06405,2,41.276463,-72.771157,B,1,1,1,3,6,2,4,2,NA,2,5,5,5,1953,1,2,3,5,3,2,3,27.70680999755859,0.27396754562840847
14216372,16372,06385,4,41.348115,-72.145548,B,1,1,1,5,5,3,3,1,1,2,1,4,4,1922,2,2,3,4,1,4,1,10.21687889099121,0.6274609979114583
14216731,16731,06902,2,41.046283,-73.5395429999999,B,1,NA,1,3,5,0,4,2,NA,2,3,5,3,1957,2,2,1,5,1,3,3,4.735204219818115,0.28335838389638335
14216965,16965,06498,5,41.285215,-72.4444419999999,B,1,NA,1,1,3,1,3,2,NA,3,4,4,NA,1922,2,2,3,4,1,3,1,8.592543601989746,0.3731331374668072
14217122,17122,06901,4,41.057445,-73.5340539999999,B,1,1,1,2,5,0,4,2,NA,2,1,4,2,1978,1,2,3,8,6,3,3,9.10586166381836,0.5966596991983752
14217277,17277,06901,1,41.056913,-73.537282,B,1,1,1,3,4,2,5,1,1,1,1,3,3,1958,1,2,2,7,6,3,3,6.630071640014648,0.44919989224624596
14217315,17315,06340,1,41.3429009999999,-72.031975,B,1,1,1,8,3,1,2,1,2,1,4,2,2,1947,1,2,3,4,2,5,3,6.090132713317871,0.1610099124546417
14217851,17851,06516,3,41.260469,-72.9567579999999,B,1,1,1,3,5,0,4,2,NA,2,2,5,2,1948,2,2,3,5,5,3,5,16.72089576721191,0.19869623744939452
14218185,18185,06854,1,41.091332,-73.4204479999999,B,1,1,3,2,5,0,3,NA,NA,2,1,5,3,1947,2,2,3,7,1,3,3,16.825116751003264,0.42442484460031993
14218358,18358,06340,1,41.350014,-72.022998,B,1,1,1,2,1,0,4,2,NA,2,1,4,2,1956,1,2,3,4,5,3,2,6.219760417938232,0.7775865322610366
14218378,18378,06807,1,41.043225,-73.592386,B,1,1,1,2,4,0,4,2,NA,2,2,4,2,1950,2,2,3,8,5,2,2,19.22175598144531,0.13990863035151796
14218543,18543,06517,3,41.33704,-72.8998019999999,B,1,1,2,0,3,0,1,2,NA,2,4,3,2,1930,1,2,7,4,5,3,5,4.512574195861816,0.27020109604131504
14218582,18582,06604,3,41.177705,-73.219029,B,1,1,1,2,6,0,3,2,NA,2,3,5,3,1951,1,2,3,8,5,3,3,8.685123443603516,0.505209040040374
14218923,18923,06614,1,41.212728,-73.117913,B,1,1,1,1,3,0,3,2,NA,2,2,5,4,1969,2,2,3,7,5,4,5,8.577085494995117,0.06368893674623861
14218993,18993,06515,3,41.328713,-72.956338,B,1,1,1,5,5,0,4,2,NA,2,1,5,3,1985,1,2,5,7,3,3,5,6.147858619689941,0.11678584094937022
14219493,19493,06379,2,41.3624119999999,-71.866585,B,1,1,1,1,5,0,3,2,NA,2,1,3,2,1958,2,2,3,5,3,3,3,5.122483730316162,0.5847039081727897
14219762,19762,06460,1,41.225779,-73.0562,B,1,1,1,1,4,0,3,2,NA,2,1,1,1,1957,1,2,3,9,6,4,3,10.48634624481201,0.22096099767765773
14219984,19984,06901,4,41.0567149999999,-73.5360589999999,B,1,1,1,3,2,0,2,2,NA,3,2,3,2,1988,2,2,3,7,3,2,5,6.825870037078857,0.5046708400879335
14220018,20018,06880,1,41.125649,-73.355541,B,1,1,1,1,5,0,4,2,NA,2,1,4,3,1978,2,2,3,7,6,2,5,9.209454536437988,0.6004900493511596
14220191,20191,06615,2,41.19241,-73.136653,B,1,1,1,4,4,0,5,2,NA,2,2,5,3,1946,2,2,3,7,3,3,3,6.218463897705078,0.670205151355756
14220198,20198,06880,4,41.125436,-73.3652929999999,B,1,1,1,5,5,0,3,2,NA,2,1,4,2,1946,1,2,3,8,5,2,3,10.46361446380615,0.14902813355944147
14220330,20330,06890,1,41.137776,-73.291649,B,1,1,1,2,3,1,4,2,4,1,4,4,2,1982,2,2,3,8,3,1,2,4.521408081054688,0.26558848100501037
14220339,20339,06902,1,41.044529,-73.53511,B,1,1,2,2,5,0,3,NA,NA,2,1,4,3,1970,2,2,3,8,6,3,1,8.067014125089644,0.19566414183831057
14220341,20341,06340,1,41.345176,-72.025884,B,1,1,1,0,4,0,3,2,NA,2,1,4,3,1956,1,2,3,3,4,3,2,5.981074333190918,0.5143801845605935
14220622,20622,06820,1,41.071595,-73.4543769999999,B,1,1,1,2,4,0,3,2,NA,2,1,3,2,1950,2,2,3,7,5,4,1,8.036368370056152,0.09289481431389847
14220631,20631,06901,3,41.0547439999999,-73.5349499999999,B,1,1,2,2,5,0,3,NA,NA,2,1,2,1,1984,1,2,2,9,4,3,5,14.349931327571868,0.4136813781532701
14220919,20919,06460,1,41.229798,-73.049559,B,1,1,1,2,5,0,5,2,NA,2,2,5,2,1967,2,2,3,6,6,4,6,8.543280601501465,0.5836096122297976
14220984,20984,06607,1,41.182029,-73.1567139999999,B,1,NA,NA,2,5,0,3,NA,NA,2,1,5,NA,1943,2,2,3,6,2,3,2,20.295246090373993,0.5700296775279424
14221030,21030,06516,3,41.264747,-72.9461989999999,B,1,1,1,2,1,0,1,2,NA,2,1,3,3,1926,1,2,3,4,2,3,3,5.109859943389893,0.5110920808006775
14221037,21037,06511,1,41.305788,-72.918536,B,1,1,1,1,2,0,2,2,NA,2,1,4,1,1973,1,2,3,7,6,2,2,7.637829780578613,0.519521216222507
14221073,21073,06443,5,41.2782789999999,-72.617118,B,1,1,1,2,6,1,4,1,2,1,1,4,3,1966,2,2,3,7,6,3,2,6.97946310043335,0.34705718526305007
14221128,21128,06511,5,41.322636,-72.908293,B,1,1,1,1,3,0,4,2,NA,2,1,3,2,1962,1,2,3,7,4,1,2,8.017219543457031,0.13932810857327804
14221607,21607,06901,4,41.057803,-73.5368969999999,B,1,1,1,2,6,2,5,1,2,1,1,5,5,1981,2,2,3,8,6,5,1,8.069186210632324,0.4930523767852494
14221989,21989,06512,1,41.282338,-72.8718489999999,B,1,1,1,2,2,0,3,2,NA,2,1,3,2,1977,1,2,3,7,5,4,3,9.099122047424316,0.48867536024364083
14222223,22223,06605,2,41.1728179999999,-73.213001,B,1,1,1,2,3,0,3,NA,NA,2,1,2,2,1955,1,2,1,8,3,2,5,19.506784560184478,0.503926839966349
14222370,22370,06902,2,41.0434279999999,-73.537936,B,1,NA,1,1,6,0,2,2,NA,3,2,4,2,1977,1,2,3,7,3,3,3,3.680810928344727,0.3538726364511287
14222690,22690,06511,3,41.3193059999999,-72.9119519999999,B,1,NA,1,8,1,0,1,2,NA,2,1,2,1,1944,1,2,3,4,5,3,2,9.139629364013672,0.3575389578715129
14222902,22902,06824,3,41.1450639999999,-73.2685649999999,B,1,1,1,1,5,0,3,2,NA,2,1,5,2,1940,1,2,3,7,5,3,1,8.729692459106445,0.5838565940264516
14223619,23619,06519,3,41.2958969999999,-72.9409019999999,B,1,1,1,2,5,1,4,2,NA,2,5,5,5,1978,2,2,1,5,4,3,3,7.186650276184082,0.3348091193275929
14223731,23731,06515,4,41.329947,-72.958033,B,1,1,1,2,5,0,3,2,NA,2,2,4,2,1941,2,2,3,8,1,3,3,7.071286201477051,0.1715914853560039
14223927,23927,06516,3,41.2785459999999,-72.9477119999999,B,1,2,2,3,6,0,5,2,4,2,1,3,3,1960,2,1,5,7,4,2,2,7.775487422943115,0.43426056455912315
14223944,23944,06516,3,41.2738909999999,-72.9542569999999,B,1,1,2,0,7,0,3,2,NA,2,2,3,3,1955,2,2,1,6,3,3,2,5.48221492767334,0.5011483274762908
14224173,24173,06460,2,41.217792,-73.062545,B,1,1,1,2,2,0,3,2,NA,2,1,3,1,1988,2,2,3,9,4,2,2,7.967838287353516,0.29942412343027763
14224332,24332,06460,4,41.197395,-73.10997,B,1,1,2,0,5,0,1,2,NA,2,2,4,NA,1944,2,2,3,9,3,3,3,9.95973014831543,0.04362436851892296
14224590,24590,06614,1,41.208703,-73.1189109999999,B,1,1,1,5,5,0,3,2,NA,2,2,3,2,1942,1,2,3,7,4,3,6,7.131432056427002,0.23981997338659478
14225475,25475,06820,1,41.065483,-73.479055,B,1,NA,1,2,4,0,5,2,NA,2,1,2,1,1935,2,2,3,5,5,3,1,7.98234224319458,0.16605164935353942
14225503,25503,06473,2,41.3710579999999,-72.862716,B,2,1,2,2,5,0,3,NA,NA,2,1,5,NA,1933,1,2,3,4,4,4,3,21.226433371906282,0.49360360421855465
14225774,25774,06510,1,41.3041989999999,-72.92529,B,1,NA,2,0,7,0,4,2,NA,2,2,4,3,1949,1,2,1,3,1,3,2,6.538780212402344,0.7245378471895519
14225920,25920,06605,2,41.172534,-73.216028,B,1,NA,1,2,4,0,5,2,NA,2,1,3,1,1974,2,1,3,7,5,3,1,5.237558841705322,0.37005937848498993
14225929,25929,06519,1,41.2884,-72.933108,B,1,1,1,3,2,0,3,2,NA,2,1,5,1,1976,2,1,4,5,2,3,5,7.359424114227295,0.3183953131147345
14226320,26320,06516,1,41.275148,-72.9373729999999,B,1,1,1,2,6,0,4,2,NA,2,1,5,3,1964,1,2,3,7,5,4,1,6.299662113189697,0.041010343149880814
14226898,26898,06825,1,41.1673469999999,-73.2329309999999,B,1,1,1,2,5,0,2,2,NA,2,1,3,1,1987,1,2,7,4,3,3,1,6.275200843811035,0.295129051227178
14226941,26941,06902,1,41.051769,-73.521692,B,1,1,1,1,4,0,3,2,NA,2,2,3,2,1965,2,1,5,5,3,3,4,12.58979415893555,0.6134601426960391
14227034,27034,06902,1,41.0442449999999,-73.535728,B,1,1,1,3,2,0,3,2,NA,2,1,5,1,1967,1,2,3,6,5,2,2,2.246554136276245,0.23280321208357363
14227104,27104,06901,1,41.055726,-73.5386579999999,B,1,1,1,1,3,0,2,2,NA,2,1,4,2,1977,2,2,3,7,4,3,6,6.412609100341797,0.35532497722798
14227131,27131,06473,2,41.371058,-72.862716,B,1,1,1,7,5,0,4,2,NA,2,1,5,2,1936,1,2,3,9,4,2,3,6.4698166847229,0.49360360421855465
14227241,27241,06824,3,41.157086,-73.269625,B,1,1,1,4,3,0,5,2,NA,2,1,5,5,1942,2,2,3,6,2,3,2,7.82071590423584,1.3750269038819503
14227402,27402,06902,1,41.0442449999999,-73.535728,B,1,1,1,4,5,1,4,2,NA,2,1,2,1,1989,1,2,3,5,3,5,1,2.246554136276245,0.23280321208357363
14227780,27780,06880,2,41.132647,-73.328987,B,1,1,1,2,5,0,4,2,NA,2,1,4,1,1965,1,2,3,8,4,3,2,10.13223648071289,0.7692867095671476
14227863,27863,06340,1,41.349024,-72.0222469999999,B,1,1,1,2,2,0,2,2,NA,1,1,1,1,1982,2,2,3,8,5,1,3,6.692973136901855,0.7813871328763113
