PIN,Longitude,Latitude,elevation_m
14131775,-73.519552,41.044956,5.1989545822143555
14132006,-73.245379,41.14488,3.253984212875366
14132234,-72.579981,41.272155,2.492952823638916
14132342,-72.215012,41.308511,13.136924743652344
14132358,-73.034767,41.213242,5.35581636428833
14132428,-73.169307,41.17168,4.034546852111816
14132458,-73.268152,41.130732,3.787954807281494
14132655,-72.990088,41.236923,4.022707939147949
14132941,-73.418038,41.080032,2.725994348526001
14133108,-72.391968,41.28033,1.6752588748931885
14133109,-71.909792,41.348761,2.935203790664673
14133401,-72.890186,41.247752,4.907800197601318
14133444,-72.99153,41.238557,4.279459476470947
14133454,-72.88783,41.315319,8.585827827453613
14133490,-72.417032,41.28194,1.6743059158325195
14133598,-72.147525,41.318448,3.6560213565826416
14133604,-72.210141,41.308417,9.837908744812012
14133950,-73.480599,41.047743,4.329471588134766
14133952,-72.940931,41.269133,3.1313209533691406
14134119,-72.870025,41.259061,5.15809440612793
14134211,-72.387534,41.283462,3.078998327255249
14134327,-72.805954,41.277139,5.268572807312012
14134382,-72.576515,41.271885,5.888827323913574
14134568,-72.421252,41.286043,4.113837242126465
14134744,-72.996856,41.229532,5.656358242034912
14134824,-72.80712,41.278724,8.281858444213867
14134889,-72.385782,41.281038,2.5572431087493896
14135320,-72.530846,41.270121,3.6212735176086426
14135371,-72.959368,41.324374,7.1157145500183105
14135484,-72.420707,41.279911,2.815727472305298
14135671,-72.821146,41.262083,3.072330951690674
14135785,-73.120733,41.155054,8.7810640335083
14135862,-73.030444,41.210841,5.039278507232666
14136144,-72.526689,41.284687,10.515602111816406
14136164,-73.051077,41.215402,4.184763431549072
14136288,-73.226116,41.14536,9.411210060119629
14136365,-72.420975,41.277053,6.031362056732178
14136411,-73.52867,41.020304,2.615222215652466
14136582,-72.131038,41.30451,12.918224334716797
14136697,-73.430098,41.067492,1.648016333580017
14136729,-72.943878,41.262644,3.4815704822540283
14137113,-72.70722,41.245634,1.4120500087738037
14137177,-71.961584,41.354074,3.0710387229919434
14137222,-71.96738,41.354557,2.11118483543396
14137233,-72.380555,41.393966,9.085115432739258
14137365,-71.896028,41.343831,7.395741939544678
14137543,-72.102717,41.310491,2.3675386905670166
14137643,-71.843438,41.34868,10.427454948425293
14137646,-73.241148,41.15344,5.816901683807373
14137711,-73.527023,41.02375,10.480572700500488
14138078,-72.809361,41.279183,7.886720180511475
14138207,-72.811386,41.270689,7.063741683959961
14138605,-73.104064,41.220686,5.8191752433776855
14138648,-72.394832,41.293749,5.454751968383789
14138722,-72.811527,41.281529,10.177793502807617
14138842,-73.004929,41.220534,2.5183322429656982
14139011,-73.26051,41.136159,2.1985747814178467
14139069,-72.802075,41.278906,5.760169982910156
